variable_name,source_sheet,domain,ontology_type,causal_role,unit,description,data_type,is_identifier,is_static,is_composite,is_component,included_in_reference_dag,reason
resilience_score,Dummy_dataset_ESG.txt,environmental,score_or_ratio,composite_or_outcome,0-100 score,Advisor text-spec variable definition.,float,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
environmental_fines,Dummy_dataset_ESG.txt,environmental,risk_or_event,event_driver,Currency,Advisor text-spec variable definition.,float,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
iso_14001_exists,Dummy_dataset_ESG.txt,environmental,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
reporting_quality_score,Dummy_dataset_ESG.txt,governance,score_or_ratio,composite_or_outcome,0-100 score,Advisor text-spec variable definition.,float,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
green_product_revenue,Dummy_dataset_ESG.txt,environmental,financial_kpi,financial_outcome,Currency or %,Advisor text-spec variable definition.,float,False,False,False,False,False,excluded: outside conservative manageable reference subset
green_buildings_area,Dummy_dataset_ESG.txt,environmental,indicator,indicator,m² or %,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
resource_efficiency_index,ESG Ontology,environmental,score_or_ratio,composite_or_outcome,0–100 score,Composite measure of how efficiently materials and resources are used.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
total_energy_consumption,ESG Ontology,environmental,operational_indicator,operational_outcome,kWh or GJ,Total energy from all sources used in operations.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
renewable_energy_share,ESG Ontology,environmental,operational_indicator,operational_outcome,%,Percentage of energy consumption sourced from renewables.,numeric (percentage),False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
hazardous_waste_generated,ESG Ontology,environmental,operational_indicator,operational_outcome,kg or ton,Amount of hazardous waste produced by operations.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
recyclable_packaging_share,Dummy_dataset_ESG.txt,company_static,operational_indicator,operational_outcome,%,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
toxic_spills,Dummy_dataset_ESG.txt,environmental,risk_or_event,event_driver,,Advisor text-spec variable definition.,int,False,False,False,False,False,excluded: not convertible to model numeric form
waste_recycled_share,Dummy_dataset_ESG.txt,environmental,operational_indicator,operational_outcome,%,Advisor text-spec variable definition.,float,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
water_withdrawal,ESG Ontology,environmental,operational_indicator,operational_outcome,m³,Volume of water extracted from natural or municipal sources.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
emf_exposure,Dummy_dataset_ESG.txt,environmental,indicator,indicator,V/m or W/m²,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
gmo_products,Dummy_dataset_ESG.txt,environmental,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
ods_emissions,ESG Ontology,environmental,operational_indicator,operational_outcome,kg CFC-11 eq,Emissions of ozone-depleting substances from operations.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
safety_transparency_trials,Dummy_dataset_ESG.txt,company_static,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
collective_bargaining_coverage,Dummy_dataset_ESG.txt,social,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
fair_wage_gap,ESG Ontology,social,operational_indicator,operational_outcome,Currency difference,Difference between actual wages and a benchmark living wage.,numeric (monetary),False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
community_investment,ESG Ontology,social,financial_kpi,financial_outcome,Currency,Financial contribution to local community development programs.,numeric (monetary),False,False,False,False,False,excluded: outside conservative manageable reference subset
health_impact_score,ESG Ontology,social,score_or_ratio,composite_or_outcome,0–100 score,Evaluates potential or actual impacts of products/services on public health.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
csr_contribution,ESG Ontology,social,indicator,indicator,Currency,Total spending on corporate social responsibility initiatives.,numeric (monetary),False,False,False,True,False,excluded: outside conservative manageable reference subset
customer_satisfaction_score,ESG Ontology,social,score_or_ratio,composite_or_outcome,0–100 score,Reflects customer satisfaction with products or services.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
hiv_program_coverage,Dummy_dataset_ESG.txt,social,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
human_rights_violations,Dummy_dataset_ESG.txt,social,risk_or_event,event_driver,,Advisor text-spec variable definition.,int,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
diversity_representation,Dummy_dataset_ESG.txt,social,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
child_labor_compliance,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
indigenous_consent_verification,Dummy_dataset_ESG.txt,social,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
access_to_services,Dummy_dataset_ESG.txt,social,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
healthcare_access_employees,Dummy_dataset_ESG.txt,social,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
animal_welfare_compliance,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
training_hours,ESG Ontology,social,operational_indicator,operational_outcome,hours/employee,Average training hours per employee.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
turnover_rate,ESG Ontology,social,operational_indicator,operational_outcome,%/year,Percentage of employees leaving the organization within a period.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
injury_frequency_rate,ESG Ontology,social,operational_indicator,operational_outcome,rate per 100 workers,Number of injuries occurring per 100 workers.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
contract_compliance,ESG Ontology,governance,policy_or_structure,driver,Yes/No,Indicates whether labor contracts comply with legal/ethical requirements.,boolean,False,False,False,False,False,excluded: outside conservative manageable reference subset
union_membership,ESG Ontology,social,policy_or_structure,driver,% employees,Percentage of employees who belong to a union.,numeric,False,False,False,False,False,excluded: not convertible to model numeric form
product_safety_compliance,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,%,Advisor text-spec variable definition.,float,False,False,False,False,False,excluded: outside conservative manageable reference subset
responsible_marketing_compliance,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
supplier_audits,ESG Ontology,social,indicator,indicator,Yes/No,Indicates whether suppliers undergo audits for social and labor compliance.,boolean,False,False,False,True,False,excluded: outside conservative manageable reference subset
esg_oversight_policy,ESG Ontology,governance,policy_or_structure,driver,Yes/No,Indicates whether ESG matters are formally overseen by the board.,boolean,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
board_diversity,Dummy_dataset_ESG.txt,governance,indicator,indicator,%,Advisor text-spec variable definition.,float,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
governance_compliance_score,ESG Ontology,governance,score_or_ratio,composite_or_outcome,0–100 score,Evaluates adherence to governance principles and standards.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
esg_incentive_bonus,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
assurance_score,ESG Ontology,governance,score_or_ratio,composite_or_outcome,0–100 score,Measures the quality of external assurance on ESG reporting.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
green_financing,ESG Ontology,environmental,financial_kpi,financial_outcome,Currency,Amount of sustainability-linked financing obtained.,numeric (monetary),False,False,False,False,False,excluded: outside conservative manageable reference subset
ceo_chair_split,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
auditor_independence_score,Dummy_dataset_ESG.txt,governance,score_or_ratio,composite_or_outcome,0-100 score,Advisor text-spec variable definition.,float,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
ethical_breaches,ESG Ontology,governance,risk_or_event,event_driver,# cases,Counts confirmed violations of ethical conduct.,integer,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
anti_competitive_violations,Dummy_dataset_ESG.txt,governance,risk_or_event,event_driver,,Advisor text-spec variable definition.,int,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
corruption_cases,ESG Ontology,governance,risk_or_event,event_driver,# cases,Confirmed incidents of bribery or corruption.,integer,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
privacy_compliance,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
financial_inclusion,Dummy_dataset_ESG.txt,governance,indicator,indicator,% population,Advisor text-spec variable definition.,float,False,False,False,True,False,excluded: outside conservative manageable reference subset
global_compact_membership,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
shareholder_rights_score,ESG Ontology,governance,score_or_ratio,composite_or_outcome,0–100,Evaluates how well shareholder rights are protected.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
site_closure_plan,Dummy_dataset_ESG.txt,governance,policy_or_structure,driver,,Advisor text-spec variable definition.,bool,False,False,False,False,False,excluded: outside conservative manageable reference subset
tax_transparency_reporting,ESG Ontology,governance,indicator,indicator,Yes/No,Shows whether the company discloses tax practices clearly.,boolean,False,False,False,True,False,excluded: outside conservative manageable reference subset
lobby_spending,ESG Ontology,governance,financial_kpi,financial_outcome,Currency,Total amount spent on lobbying or influencing public policy.,numeric (monetary),False,False,False,False,False,excluded: outside conservative manageable reference subset
systemic_risk_level,Dummy_dataset_ESG.txt,governance,indicator,indicator,,Advisor text-spec variable definition.,str,False,False,False,True,False,excluded: outside conservative manageable reference subset
market_price_share,csv_inferred,financial,operational_indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
market_value_equity,csv_inferred,financial,financial_kpi,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
smallest_shareholder_name,csv_inferred,governance,identifier_or_static,identifier_or_static,,Inferred from advisor dummy CSV column name.,text,True,True,False,False,False,excluded: outside conservative manageable reference subset
majority_shareholder_shares,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
minority_shareholder_shares,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
outstanding_shares,csv_inferred,company_static,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
largest_shareholder_pct,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
majority_shareholder_pct,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
minority_shareholder_pct,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
total_shares,csv_inferred,company_static,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
military_connection_risk_head,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,text,True,False,False,True,False,excluded: outside conservative manageable reference subset
asset_growth_pct,csv_inferred,financial,financial_kpi,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
birthdate_risk_head,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,text,True,False,False,True,False,excluded: outside conservative manageable reference subset
capital_expenditure,Financial KPIs,financial,indicator,financial_outcome,Currency,"Funds spent on acquiring or upgrading physical assets such as property, plant, and equipment.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
capital_intensity_fixed_asset,csv_inferred,financial,financial_kpi,financial_outcome,,Inferred from advisor dummy CSV column name.,text,True,False,False,False,False,excluded: outside conservative manageable reference subset
cash_and_equivalent,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
cash_dividend,Financial KPIs,financial,indicator,financial_outcome,Currency,The proportion of net income distributed to shareholders as dividends.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
cash_holding,Financial KPIs,financial,indicator,financial_outcome,Currency,The amount of dividends paid for each outstanding share.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
cash_turnover,Financial KPIs,financial,indicator,financial_outcome,Ratio,"Net earnings allocated per share, indicating company profitability.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
operation_complexity,csv_inferred,financial,score_or_ratio,financial_outcome,,Inferred from advisor dummy CSV column name.,text,True,False,True,False,False,excluded: outside conservative manageable reference subset
current_ratio,Financial KPIs,financial,score_or_ratio,financial_outcome,Ratio,Earnings generated from operations before financing costs and taxes.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
debt_to_equity_ratio,csv_inferred,financial,score_or_ratio,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
depreciation,Financial KPIs,financial,indicator,financial_outcome,Currency,"Total expenses related to borrowing, such as interest costs.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
dividend_payout_ratio,csv_inferred,financial,score_or_ratio,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
dividend_per_share,Financial KPIs,financial,operational_indicator,financial_outcome,Currency per share,Measures short-term liquidity by comparing current assets to current liabilities.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
eps,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
earnings_after_tax,csv_inferred,governance,financial_kpi,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
ebit,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
earnings_quality,Financial KPIs,financial,score_or_ratio,financial_outcome,Score / Ratio,"Indicates the proportion of debt relative to shareholder equity, reflecting leverage.",numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
financial_expenses,Financial KPIs,financial,indicator,financial_outcome,Currency,"The degree of operational diversity, processes, and business units that affect organizational complexity.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
goodwill,Financial KPIs,financial,indicator,financial_outcome,Currency,The allocation of the cost of tangible assets over their useful life.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
gross_sales,Financial KPIs,financial,indicator,financial_outcome,Currency,"An intangible asset representing the premium paid in acquisitions for reputation, customers, or brand value.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
human_capital_cost,Financial KPIs,financial,indicator,financial_outcome,Currency,"Total expenses related to employee compensation, development, and benefits.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
income_tax,Financial KPIs,financial,indicator,financial_outcome,Currency,The total tax expense incurred on company earnings during the reporting period.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
intangible_assets,Financial KPIs,financial,financial_kpi,financial_outcome,Currency,"Non-physical assets such as trademarks, patents, software, or brand value.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
lag_inventory,Financial KPIs,financial,indicator,financial_outcome,Currency,Inventory amount from the previous period used for comparison or analysis.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
lag_net_sales,Financial KPIs,financial,indicator,financial_outcome,Currency,"Net sales from the previous period, commonly used for growth measurement.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
ln_cash_equivalent,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
market_price_high,Financial KPIs,financial,indicator,financial_outcome,Currency per share,The highest stock price recorded during the trading period.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
market_price_low,Financial KPIs,financial,indicator,financial_outcome,Currency per share,The lowest stock price recorded during the trading period.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
market_price_open,Financial KPIs,financial,indicator,financial_outcome,Currency per share,The stock price at the opening of the trading session.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
largest_shareholder_name,csv_inferred,governance,identifier_or_static,identifier_or_static,,Inferred from advisor dummy CSV column name.,text,True,True,False,False,False,excluded: outside conservative manageable reference subset
net_inventory,Financial KPIs,financial,indicator,financial_outcome,Currency,The value of inventory after adjustments such as reserves or write-downs.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
net_sales,Financial KPIs,financial,indicator,financial_outcome,Currency,"Revenue after subtracting discounts, returns, and allowances.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
net_working_capital,Financial KPIs,financial,indicator,financial_outcome,Currency,"Current assets minus current liabilities, indicating short-term financial capacity.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
pe_ratio,csv_inferred,financial,score_or_ratio,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
reporting_currency,Financial KPIs,financial,identifier_or_static,identifier_or_static,Currency code,The currency used for preparing and presenting the company’s financial statements.,text,True,False,False,False,False,excluded: outside conservative manageable reference subset
retained_earnings,Financial KPIs,financial,financial_kpi,financial_outcome,Currency,Accumulated profits kept in the company rather than distributed as dividends.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
times_interest_earned,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
tobins_q,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,text,True,False,False,True,False,excluded: identifier/static text field
z1,Financial KPIs,financial,indicator,financial_outcome,Ratio,Altman Z-Score component representing working capital relative to total assets.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
z2,Financial KPIs,financial,indicator,financial_outcome,Ratio,Altman Z-Score component representing retained earnings relative to total assets.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
z3,Financial KPIs,financial,indicator,financial_outcome,Ratio,Altman Z-Score component representing EBIT relative to total assets.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
z4,Financial KPIs,financial,indicator,financial_outcome,Ratio,Altman Z-Score component comparing market value of equity to liabilities.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
z5,Financial KPIs,financial,indicator,financial_outcome,Ratio,Altman Z-Score component measuring sales relative to total assets.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
controlling_shareholder_info,csv_inferred,governance,operational_indicator,operational_outcome,,Inferred from advisor dummy CSV column name.,text,True,True,False,True,False,excluded: outside conservative manageable reference subset
incorporation_year,Financial KPIs,financial,score_or_ratio,financial_outcome,Year,The year the company was legally registered or established.,numeric (year),False,True,True,False,False,excluded: outside conservative manageable reference subset
ipo_year,Financial KPIs,financial,indicator,financial_outcome,Year,The year the company first offered shares to the public.,numeric (year),False,True,False,False,False,excluded: outside conservative manageable reference subset
num_business_segments,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
num_employee,csv_inferred,social,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
company_name,Financial KPIs,financial,identifier_or_static,identifier_or_static,–,Official name of the company.,text,True,True,False,False,False,excluded: outside conservative manageable reference subset
reporting_year,csv_inferred,governance,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
nace,Financial KPIs,financial,identifier_or_static,identifier_or_static,Code,The official classification system used in the European Union to categorize all types of economic activities. It serves as a standardized framework for identifying the industry or sector in which a company operates.,text,True,True,False,False,False,excluded: outside conservative manageable reference subset
asset_turnover,Financial KPIs,financial,financial_kpi,financial_outcome,Ratio,Measures how efficiently a company uses its assets to generate sales revenue.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
capital_intensity,Financial KPIs,financial,indicator,financial_outcome,Ratio,Measures the amount of assets required to generate a unit of revenue.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
cash_ratio,Financial KPIs,financial,score_or_ratio,financial_outcome,Ratio,"Duplicate of Cash Ratio, measures short-term liquidity using cash and cash equivalents.",numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
debt_maturity,Financial KPIs,financial,financial_kpi,financial_outcome,Years,The average remaining term of the company’s debt obligations.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
debt_to_asset_ratio,csv_inferred,financial,score_or_ratio,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
operating_leverage,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,text,True,False,False,True,False,excluded: outside conservative manageable reference subset
eat_growth,Financial KPIs,financial,indicator,financial_outcome,Percent,The growth rate of Earnings After Tax over a period.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
fixed_asset_intensity,Financial KPIs,financial,financial_kpi,financial_outcome,Ratio,"Proportion of fixed assets relative to total assets, indicating reliance on long-term assets.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
gross_profit_margin,Financial KPIs,financial,score_or_ratio,financial_outcome,Percent,The percentage of revenue remaining after deducting cost of goods sold.,numeric,False,False,True,False,False,excluded: not convertible to model numeric form
lag_cf_operating,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,text,True,False,False,True,False,excluded: outside conservative manageable reference subset
net_cf_investing,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
net_cf_operating,csv_inferred,company_static,indicator,indicator,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
net_profit_margin,Financial KPIs,financial,score_or_ratio,financial_outcome,Percent,The percentage of revenue remaining as profit after all expenses are deducted.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
pbv,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,False,excluded: outside conservative manageable reference subset
quick_ratio,Financial KPIs,financial,score_or_ratio,financial_outcome,Ratio,"Measures short-term liquidity, excluding inventory from current assets.",numeric,False,False,True,False,False,excluded: outside conservative manageable reference subset
roa_eat,csv_inferred,financial,indicator,financial_outcome,,Inferred from advisor dummy CSV column name.,numeric,False,False,False,True,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
solvency_ratio,Financial KPIs,financial,score_or_ratio,financial_outcome,Ratio,Ratio assessing the company’s ability to meet long-term obligations.,numeric,False,False,True,False,True,"included: advisor CSV variable, cleaned numeric/boolean, ontology-covered"
account_receivable,Financial KPIs,financial,indicator,financial_outcome,Currency,Money owed to the company by customers for goods or services delivered.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
current_asset,Financial KPIs,financial,financial_kpi,financial_outcome,Currency,Total assets expected to be converted into cash or used within one year.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
current_liabilities,Financial KPIs,financial,indicator,financial_outcome,Currency,Obligations the company must pay within one year.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
fixed_asset,Financial KPIs,financial,financial_kpi,financial_outcome,Currency,"Long-term tangible assets used in operations, such as property, plant, and equipment.",numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
inventory_turnover,Financial KPIs,financial,indicator,financial_outcome,Times per period,Measures how efficiently inventory is sold and replaced over a period.,numeric,False,False,False,False,False,excluded: outside conservative manageable reference subset
