source,target,rule_name,justification,source_domain,target_domain,source_type,target_type,confidence_level,origin,required_light
hazardous_waste_generated,environmental_fines,esg_risk_event_to_fines,Hazardous waste generation increases regulatory penalty exposure.,environmental,environmental,operational_indicator,risk_or_event,high,metadata_ontology_rule,False
waste_recycled_share,hazardous_waste_generated,operational_indicator_to_operational_outcome,Recycling practices can reduce waste burden.,environmental,environmental,operational_indicator,operational_indicator,medium,metadata_ontology_rule,False
water_withdrawal,environmental_fines,esg_risk_event_to_fines,High water withdrawal can increase environmental regulatory exposure in constrained contexts.,environmental,environmental,operational_indicator,risk_or_event,low,metadata_ontology_rule,False
training_hours,injury_frequency_rate,social_action_to_operational_outcome,Employee training can reduce workplace injury frequency.,social,social,operational_indicator,operational_indicator,high,metadata_ontology_rule,False
training_hours,turnover_rate,social_action_to_operational_outcome,Training investment can influence retention and turnover.,social,social,operational_indicator,operational_indicator,medium,metadata_ontology_rule,False
collective_bargaining_coverage,fair_wage_gap,social_structure_to_workforce_outcome,Collective bargaining coverage can affect pay equity outcomes.,social,social,indicator,operational_indicator,medium,metadata_ontology_rule,False
diversity_representation,human_rights_violations,social_indicator_to_rights_outcome,Workforce diversity is linked to lower employee-rights violation risk in ESG literature.,social,social,indicator,risk_or_event,medium,metadata_ontology_rule,False
customer_satisfaction_score,turnover_rate,social_outcome_interdependency,Customer satisfaction and employee turnover are linked operational social outcomes; direction is treated conservatively from satisfaction to retention pressure.,social,social,score_or_ratio,operational_indicator,low,metadata_ontology_rule,False
customer_satisfaction_score,net_profit_margin,social_outcome_to_financial_outcome,"Customer satisfaction can improve retention, pricing power, and profitability.",social,financial,score_or_ratio,score_or_ratio,medium,metadata_ontology_rule,False
injury_frequency_rate,net_profit_margin,social_risk_to_financial_outcome,Workplace injuries create direct and indirect costs that can reduce margins.,social,financial,operational_indicator,score_or_ratio,medium,metadata_ontology_rule,False
ethical_breaches,governance_compliance_score,governance_event_to_compliance,Ethical breaches are governance events that affect compliance standing.,governance,governance,risk_or_event,score_or_ratio,high,metadata_ontology_rule,False
corruption_cases,governance_compliance_score,governance_event_to_compliance,Corruption cases directly degrade governance compliance.,governance,governance,risk_or_event,score_or_ratio,high,metadata_ontology_rule,False
anti_competitive_violations,governance_compliance_score,governance_event_to_compliance,Anti-competitive violations are governance/legal compliance events.,governance,governance,risk_or_event,score_or_ratio,high,metadata_ontology_rule,False
corruption_cases,ethical_breaches,governance_risk_event_relationship,Corruption cases are a specific source of broader ethical-breach exposure.,governance,governance,risk_or_event,risk_or_event,medium,metadata_ontology_rule,False
governance_compliance_score,solvency_ratio,governance_to_financial_stability,Governance quality supports prudent risk management and financial stability.,governance,financial,score_or_ratio,score_or_ratio,medium,metadata_ontology_rule,False
governance_compliance_score,debt_to_equity_ratio,governance_to_capital_structure,Governance quality influences capital structure and creditor trust.,governance,financial,score_or_ratio,score_or_ratio,medium,metadata_ontology_rule,False
environmental_fines,market_value_equity,environmental_event_to_market_value,Environmental fines can reduce market value through legal and reputational channels.,environmental,financial,risk_or_event,financial_kpi,high,metadata_ontology_rule,False
environmental_fines,debt_to_equity_ratio,environmental_event_to_financing,Environmental penalties can affect financing conditions and leverage.,environmental,financial,risk_or_event,score_or_ratio,medium,metadata_ontology_rule,False
carbon_intensity,market_value_equity,environmental_indicator_to_market_value,Carbon intensity can affect market valuation through transition-risk channels.,environmental,financial,indicator,financial_kpi,medium,metadata_ontology_rule,False
emission_reduction_policy,roa_eat,environmental_policy_to_financial_outcome,Emission-reduction policies can improve operating efficiency over time.,environmental,financial,policy_or_structure,indicator,medium,metadata_ontology_rule,False
emission_reduction_policy,roe_eat,environmental_policy_to_financial_outcome,Emission-reduction policies can affect shareholder returns through efficiency and financing channels.,environmental,financial,policy_or_structure,indicator,medium,metadata_ontology_rule,False
iso_14001_exists,net_profit_margin,environmental_management_to_financial_outcome,Environmental management systems can improve operational discipline and margins.,environmental,financial,policy_or_structure,score_or_ratio,medium,metadata_ontology_rule,False
