cause,effect,rule_name,justification
market_value_equity,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,environmental_fines,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,environmental_fines,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,environmental_fines,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
net_profit_margin,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
roa_eat,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
